handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_226d0b6b-6605-6dc6-5c44-8b276980e0e2,Product,Set 2 masti din matase naturala pentru Ea si El,"<p><strong>Aceasta masca nu este un dispozitiv medical! Compania noastra nu isi asuma raspunderea pentru persoanele care le folosesc in scop medical sau pentru eventualele situatii de imbolnavire.</strong></p><p>&nbsp;</p><p><span style=""color:#cb2026;""><strong>Avand in vedere volumul mare de comenzi, procesarea si expedierea acestora se va realiza in ordinea plasarii lor.</strong></span></p>",f1d16d_7af049dafa0743d08efbf5fbd9303a5d~mv2.jpg;f1d16d_938b0f7811e24c04b29e94d0a5a222b5~mv2.jpg;f1d16d_fb72619d0ea444e8a8df6f6ab7060672~mv2.jpg;f1d16d_fc6fe5ded622481c962bc7b42a2b0dd6~mv2.jpg,COLECTII,,,120.0,,true,AMOUNT,30.0,InStock,0.0,Dimensiuni  Femeie,DROP_DOWN,XS;S;M;L;XL,Dimensiuni Barbat,DROP_DOWN,XS;S;M;L;XL,,,,,,,,,,,,,Descriere Produs,"<p>Masca estetica unisex din matase naturala. Matasea naturala este o tesatura foarte fina, luxurianta, durabila, usoara si are o aparenta superba datorita firelor fine din care este compusa. Acest articol este un accesoriu moda versatil, putand fi asortat la diverse tinute vestimentare, atat casual, cat si elegante.</p>
",Caracteristici,"<p>Produsul este compus din urmatoarele elemente:</p>

<p>- 3 straturi de matase naturala</p>

<p>- 1 strat de bumbac</p>

<p>- 1 filtru din 5 straturi de material netesut (polipropilena)</p>

<p>- element din metal pentru fixarea mastii pe nas</p>

<p>Masca este prevazuta cu buzunare pentru inlocuirea filtrului si a elementului din metal folosit pentru fixarea mastii.</p>
",Intretinere,"<p>Pentru igienizarea si intretinerea acestei masti se recomanda spalarea manuala, folosind un recipient cu apa calduta, impreuna cu detergent pentru rufe delicate sau sampon pentru copii.</p>

<p>Uscarea se face departe de lumina directa a soarelui.</p>

<p>Calcarea se realizeaza normal cu aburi, timp de 5-10 secunde, asezand un material textil intre masca si talpa fierului de calcat. Astfel se inlatura mirosurile neplacute si se igienizeaza masca.</p>

<p><strong>Nu se recomanda pulverizarea cu alcool sau produse pe baza de clor deoarece acest lucru va duce la deteriorarea mastii.</strong></p>
",,,,,,,,,,,,
product_f65a1cfa-fe8c-02a2-9150-3ea134398f60,Product,Set 2 masti din matase naturala pentru Ea si El,"<p><strong>Aceasta masca nu este un dispozitiv medical! Compania noastra nu isi asuma raspunderea pentru persoanele care le folosesc in scop medical sau pentru eventualele situatii de imbolnavire.</strong></p><p>&nbsp;</p><p><span style=""color:#cb2026;""><strong>Avand in vedere volumul mare de comenzi, procesarea si expedierea acestora se va realiza in ordinea plasarii lor.</strong></span></p>",f1d16d_03f14a976b1843a8a46d63dd753eca1d~mv2.jpg;f1d16d_d2273b0a33724122be19b8cbdebb210d~mv2.jpg;f1d16d_7af049dafa0743d08efbf5fbd9303a5d~mv2.jpg;f1d16d_938b0f7811e24c04b29e94d0a5a222b5~mv2.jpg,COLECTII,,,120.0,,true,AMOUNT,30.0,InStock,0.0,Dimensiuni  Femeie,DROP_DOWN,XS;S;M;L;XL,Dimensiuni Barbat,DROP_DOWN,XS;S;M;L;XL,,,,,,,,,,,,,Descriere Produs,"<p>Masca estetica unisex din matase naturala. Matasea naturala este o tesatura foarte fina, luxurianta, durabila, usoara si are o aparenta superba datorita firelor fine din care este compusa. Acest articol este un accesoriu moda versatil, putand fi asortat la diverse tinute vestimentare, atat casual, cat si elegante.</p>
",Caracteristici,"<p>Produsul este compus din urmatoarele elemente:</p>

<p>- 3 straturi de matase naturala</p>

<p>- 1 strat de bumbac</p>

<p>- 1 filtru din 5 straturi de material netesut (polipropilena)</p>

<p>- element din metal pentru fixarea mastii pe nas</p>

<p>Masca este prevazuta cu buzunare pentru inlocuirea filtrului si a elementului din metal folosit pentru fixarea mastii.</p>
",Intretinere,"<p>Pentru igienizarea si intretinerea acestei masti se recomanda spalarea manuala, folosind un recipient cu apa calduta, impreuna cu detergent pentru rufe delicate sau sampon pentru copii.</p>

<p>Uscarea se face departe de lumina directa a soarelui.</p>

<p>Calcarea se realizeaza normal cu aburi, timp de 5-10 secunde, asezand un material textil intre masca si talpa fierului de calcat. Astfel se inlatura mirosurile neplacute si se igienizeaza masca.</p>

<p><strong>Nu se recomanda pulverizarea cu alcool sau produse pe baza de clor deoarece acest lucru va duce la deteriorarea mastii.</strong></p>
",,,,,,,,,,,,
product_5a440986-6b51-7966-a643-c26a0965a02a,Product,Set 2 masti din matase naturala pentru Ea si El,"<p><strong>Aceasta masca nu este un dispozitiv medical! Compania noastra nu isi asuma raspunderea pentru persoanele care le folosesc in scop medical sau pentru eventualele situatii de imbolnavire.</strong></p><p>&nbsp;</p><p><span style=""color:#cb2026;""><strong>Avand in vedere volumul mare de comenzi, procesarea si expedierea acestora se va realiza in ordinea plasarii lor.</strong></span></p>",f1d16d_a7700295046743b28e5bdb9b1c640b55~mv2.jpg;f1d16d_af7e91d019244c6b98f0a7fb122201cf~mv2.jpg;f1d16d_0377563193414cbf8002beb731aa3808~mv2.jpg;f1d16d_b39b682de69a4511b13a7e249675677c~mv2.jpg,COLECTII,,,120.0,,true,AMOUNT,30.0,InStock,0.0,Dimensiuni  Femeie,DROP_DOWN,XS;S;M;L;XL,Dimensiuni Barbat,DROP_DOWN,XS;S;M;L;XL,,,,,,,,,,,,,Descriere Produs,"<p>Masca estetica unisex din matase naturala. Matasea naturala este o tesatura foarte fina, luxurianta, durabila, usoara si are o aparenta superba datorita firelor fine din care este compusa. Acest articol este un accesoriu moda versatil, putand fi asortat la diverse tinute vestimentare, atat casual, cat si elegante.</p>
",Caracteristici,"<p>Produsul este compus din urmatoarele elemente:</p>

<p>- 3 straturi de matase naturala</p>

<p>- 1 strat de bumbac</p>

<p>- 1 filtru din 5 straturi de material netesut (polipropilena)</p>

<p>- element din metal pentru fixarea mastii pe nas</p>

<p>Masca este prevazuta cu buzunare pentru inlocuirea filtrului si a elementului din metal folosit pentru fixarea mastii.</p>
",Intretinere,"<p>Pentru igienizarea si intretinerea acestei masti se recomanda spalarea manuala, folosind un recipient cu apa calduta, impreuna cu detergent pentru rufe delicate sau sampon pentru copii.</p>

<p>Uscarea se face departe de lumina directa a soarelui.</p>

<p>Calcarea se realizeaza normal cu aburi, timp de 5-10 secunde, asezand un material textil intre masca si talpa fierului de calcat. Astfel se inlatura mirosurile neplacute si se igienizeaza masca.</p>

<p><strong>Nu se recomanda pulverizarea cu alcool sau produse pe baza de clor deoarece acest lucru va duce la deteriorarea mastii.</strong></p>
",,,,,,,,,,,,
product_6d71dca6-1f5a-496e-cf9b-62010e806fa4,Product,Set 2 masti din matase naturala pentru Ea si El,"<p><strong>Aceasta masca nu este un dispozitiv medical! Compania noastra nu isi asuma raspunderea pentru persoanele care le folosesc in scop medical sau pentru eventualele situatii de imbolnavire.</strong></p><p>&nbsp;</p><p><span style=""color:#cb2026;""><strong>Avand in vedere volumul mare de comenzi, procesarea si expedierea acestora se va realiza in ordinea plasarii lor.</strong></span></p>",f1d16d_c92dabd57e6a4fe6b7d44713b33fddbe~mv2.jpg;f1d16d_9ef8981f04bb487993ba738f053e0bb5~mv2.jpg;f1d16d_78799f64aacd4b25903f365ee644c199~mv2.jpg;f1d16d_42fc8e6705e647adb9e561271f636687~mv2.jpg,COLECTII,,,120.0,,true,AMOUNT,30.0,InStock,0.0,Dimensiuni  Femeie,DROP_DOWN,XS;S;M;L;XL,Dimensiuni Barbat,DROP_DOWN,XS;S;M;L;XL,,,,,,,,,,,,,Descriere Produs,"<p>Masca estetica unisex din matase naturala. Matasea naturala este o tesatura foarte fina, luxurianta, durabila, usoara si are o aparenta superba datorita firelor fine din care este compusa. Acest articol este un accesoriu moda versatil, putand fi asortat la diverse tinute vestimentare, atat casual, cat si elegante.</p>
",Caracteristici,"<p>Produsul este compus din urmatoarele elemente:</p>

<p>- 3 straturi de matase naturala</p>

<p>- 1 strat de bumbac</p>

<p>- 1 filtru din 5 straturi de material netesut (polipropilena)</p>

<p>- element din metal pentru fixarea mastii pe nas</p>

<p>Masca este prevazuta cu buzunare pentru inlocuirea filtrului si a elementului din metal folosit pentru fixarea mastii.</p>
",Intretinere,"<p>Pentru igienizarea si intretinerea acestei masti se recomanda spalarea manuala, folosind un recipient cu apa calduta, impreuna cu detergent pentru rufe delicate sau sampon pentru copii.</p>

<p>Uscarea se face departe de lumina directa a soarelui.</p>

<p>Calcarea se realizeaza normal cu aburi, timp de 5-10 secunde, asezand un material textil intre masca si talpa fierului de calcat. Astfel se inlatura mirosurile neplacute si se igienizeaza masca.</p>

<p><strong>Nu se recomanda pulverizarea cu alcool sau produse pe baza de clor deoarece acest lucru va duce la deteriorarea mastii.</strong></p>
",,,,,,,,,,,,
product_5e8516b9-e5ff-2128-0114-ca4f8767ea99,Product,Set 2 masti din matase naturala pentru Ea si El,"<p><strong>Aceasta masca nu este un dispozitiv medical! Compania noastra nu isi asuma raspunderea pentru persoanele care le folosesc in scop medical sau pentru eventualele situatii de imbolnavire.</strong></p><p>&nbsp;</p><p><span style=""color:#cb2026;""><strong>Avand in vedere volumul mare de comenzi, procesarea si expedierea acestora se va realiza in ordinea plasarii lor.</strong></span></p>",f1d16d_d3c9eb8c51434027b5eacb4ff4a8d1f6~mv2.jpg;f1d16d_9ba3df9e2cb74d9e83a8318f5146a19a~mv2.jpg;f1d16d_0c046ce1d8754bf6a368be6c7928b2b8~mv2.jpg;f1d16d_3387ab7abd0744e6afa59410f84a6225~mv2.jpg,COLECTII,,,120.0,,true,AMOUNT,30.0,InStock,0.0,Dimensiuni  Femeie,DROP_DOWN,XS;S;M;L;XL,Dimensiuni Barbat,DROP_DOWN,XS;S;M;L;XL,,,,,,,,,,,,,Descriere Produs,"<p>Masca estetica unisex din matase naturala. Matasea naturala este o tesatura foarte fina, luxurianta, durabila, usoara si are o aparenta superba datorita firelor fine din care este compusa. Acest articol este un accesoriu moda versatil, putand fi asortat la diverse tinute vestimentare, atat casual, cat si elegante.</p>
",Caracteristici,"<p>Produsul este compus din urmatoarele elemente:</p>

<p>- 3 straturi de matase naturala</p>

<p>- 1 strat de bumbac</p>

<p>- 1 filtru din 5 straturi de material netesut (polipropilena)</p>

<p>- element din metal pentru fixarea mastii pe nas</p>

<p>Masca este prevazuta cu buzunare pentru inlocuirea filtrului si a elementului din metal folosit pentru fixarea mastii.</p>
",Intretinere,"<p>Pentru igienizarea si intretinerea acestei masti se recomanda spalarea manuala, folosind un recipient cu apa calduta, impreuna cu detergent pentru rufe delicate sau sampon pentru copii.</p>

<p>Uscarea se face departe de lumina directa a soarelui.</p>

<p>Calcarea se realizeaza normal cu aburi, timp de 5-10 secunde, asezand un material textil intre masca si talpa fierului de calcat. Astfel se inlatura mirosurile neplacute si se igienizeaza masca.</p>

<p><strong>Nu se recomanda pulverizarea cu alcool sau produse pe baza de clor deoarece acest lucru va duce la deteriorarea mastii.</strong></p>
",,,,,,,,,,,,
product_b2d85a40-9e6b-308d-155b-113961135c39,Product,Set 2 masti din matase naturala pentru Ea si El,"<p><strong>Aceasta masca nu este un dispozitiv medical! Compania noastra nu isi asuma raspunderea pentru persoanele care le folosesc in scop medical sau pentru eventualele situatii de imbolnavire.</strong></p><p>&nbsp;</p><p><span style=""color:#cb2026;""><strong>Avand in vedere volumul mare de comenzi, procesarea si expedierea acestora se va realiza in ordinea plasarii lor.</strong></span></p>",f1d16d_d2c8a3bfda5245a189b3ac745fa798d5~mv2.jpg;f1d16d_a32679ab69ff45d7bc04bbb9dc02c398~mv2.jpg;f1d16d_bdfb5d8a85c3432ab868ec09cf2b96b7~mv2.jpg;f1d16d_7a81e1e15e234f6d88a624b0dfb84873~mv2.jpg,COLECTII,,,120.0,,true,AMOUNT,30.0,InStock,0.0,Dimensiuni  Femeie,DROP_DOWN,XS;S;M;L;XL,Dimensiuni Barbat,DROP_DOWN,XS;S;M;L;XL,,,,,,,,,,,,,Descriere Produs,"<p>Masca estetica unisex din matase naturala. Matasea naturala este o tesatura foarte fina, luxurianta, durabila, usoara si are o aparenta superba datorita firelor fine din care este compusa. Acest articol este un accesoriu moda versatil, putand fi asortat la diverse tinute vestimentare, atat casual, cat si elegante.</p>
",Caracteristici,"<p>Produsul este compus din urmatoarele elemente:</p>

<p>- 3 straturi de matase naturala</p>

<p>- 1 strat de bumbac</p>

<p>- 1 filtru din 5 straturi de material netesut (polipropilena)</p>

<p>- element din metal pentru fixarea mastii pe nas</p>

<p>Masca este prevazuta cu buzunare pentru inlocuirea filtrului si a elementului din metal folosit pentru fixarea mastii.</p>
",Intretinere,"<p>Pentru igienizarea si intretinerea acestei masti se recomanda spalarea manuala, folosind un recipient cu apa calduta, impreuna cu detergent pentru rufe delicate sau sampon pentru copii.</p>

<p>Uscarea se face departe de lumina directa a soarelui.</p>

<p>Calcarea se realizeaza normal cu aburi, timp de 5-10 secunde, asezand un material textil intre masca si talpa fierului de calcat. Astfel se inlatura mirosurile neplacute si se igienizeaza masca.</p>

<p><strong>Nu se recomanda pulverizarea cu alcool sau produse pe baza de clor deoarece acest lucru va duce la deteriorarea mastii.</strong></p>
",,,,,,,,,,,,
product_b39c1034-cf02-c11b-29ac-33815d543d63,Product,Set 2 masti din matase naturala pentru Ea si El,"<p><strong>Aceasta masca nu este un dispozitiv medical! Compania noastra nu isi asuma raspunderea pentru persoanele care le folosesc in scop medical sau pentru eventualele situatii de imbolnavire.</strong></p><p>&nbsp;</p><p><span style=""color:#cb2026;""><strong>Avand in vedere volumul mare de comenzi, procesarea si expedierea acestora se va realiza in ordinea plasarii lor.</strong></span></p>",f1d16d_92c3d4b7e5a14297abba5738a23282f9~mv2.jpg;f1d16d_481c1781f6cb45ceb5e30ce122037f28~mv2.jpg;f1d16d_708f2552b5a94f56a3d44be3849c70df~mv2.jpg;f1d16d_702d2aaca24946408001dc3747df3665~mv2.jpg,COLECTII,,,120.0,,true,AMOUNT,30.0,InStock,0.0,Dimensiuni  Femeie,DROP_DOWN,XS;S;M;L;XL,Dimensiuni Barbat,DROP_DOWN,XS;S;M;L;XL,,,,,,,,,,,,,Descriere Produs,"<p>Masca estetica unisex din matase naturala. Matasea naturala este o tesatura foarte fina, luxurianta, durabila, usoara si are o aparenta superba datorita firelor fine din care este compusa. Acest articol este un accesoriu moda versatil, putand fi asortat la diverse tinute vestimentare, atat casual, cat si elegante.</p>
",Caracteristici,"<p>Produsul este compus din urmatoarele elemente:</p>

<p>- 3 straturi de matase naturala</p>

<p>- 1 strat de bumbac</p>

<p>- 1 filtru din 5 straturi de material netesut (polipropilena)</p>

<p>- element din metal pentru fixarea mastii pe nas</p>

<p>Masca este prevazuta cu buzunare pentru inlocuirea filtrului si a elementului din metal folosit pentru fixarea mastii.</p>
",Intretinere,"<p>Pentru igienizarea si intretinerea acestei masti se recomanda spalarea manuala, folosind un recipient cu apa calduta, impreuna cu detergent pentru rufe delicate sau sampon pentru copii.</p>

<p>Uscarea se face departe de lumina directa a soarelui.</p>

<p>Calcarea se realizeaza normal cu aburi, timp de 5-10 secunde, asezand un material textil intre masca si talpa fierului de calcat. Astfel se inlatura mirosurile neplacute si se igienizeaza masca.</p>

<p><strong>Nu se recomanda pulverizarea cu alcool sau produse pe baza de clor deoarece acest lucru va duce la deteriorarea mastii.</strong></p>
",,,,,,,,,,,,
product_6d3bd610-cbbe-d281-0023-30a40bf068f8,Product,Set 2 masti din matase naturala pentru Ea si El,"<p><strong>Aceasta masca nu este un dispozitiv medical! Compania noastra nu isi asuma raspunderea pentru persoanele care le folosesc in scop medical sau pentru eventualele situatii de imbolnavire.</strong></p><p>&nbsp;</p><p><span style=""color:#cb2026;""><strong>Avand in vedere volumul mare de comenzi, procesarea si expedierea acestora se va realiza in ordinea plasarii lor.</strong></span></p>",f1d16d_67291063652e4ab9847d9f3b4038e00f~mv2.jpg;f1d16d_be785fbb1d66466686146e08ba0014a5~mv2.jpg;f1d16d_75ca09597e34431690252e97a3a8ef67~mv2.jpg;f1d16d_5cab72a306d4461090ec927f4f9b0e91~mv2.jpg,COLECTII,,,120.0,,true,AMOUNT,30.0,InStock,0.0,Dimensiuni  Femeie,DROP_DOWN,XS;S;M;L;XL,Dimensiuni Barbat,DROP_DOWN,XS;S;M;L;XL,,,,,,,,,,,,,Descriere Produs,"<p>Masca estetica unisex din matase naturala. Matasea naturala este o tesatura foarte fina, luxurianta, durabila, usoara si are o aparenta superba datorita firelor fine din care este compusa. Acest articol este un accesoriu moda versatil, putand fi asortat la diverse tinute vestimentare, atat casual, cat si elegante.</p>
",Caracteristici,"<p>Produsul este compus din urmatoarele elemente:</p>

<p>- 3 straturi de matase naturala</p>

<p>- 1 strat de bumbac</p>

<p>- 1 filtru din 5 straturi de material netesut (polipropilena)</p>

<p>- element din metal pentru fixarea mastii pe nas</p>

<p>Masca este prevazuta cu buzunare pentru inlocuirea filtrului si a elementului din metal folosit pentru fixarea mastii.</p>
",Intretinere,"<p>Pentru igienizarea si intretinerea acestei masti se recomanda spalarea manuala, folosind un recipient cu apa calduta, impreuna cu detergent pentru rufe delicate sau sampon pentru copii.</p>

<p>Uscarea se face departe de lumina directa a soarelui.</p>

<p>Calcarea se realizeaza normal cu aburi, timp de 5-10 secunde, asezand un material textil intre masca si talpa fierului de calcat. Astfel se inlatura mirosurile neplacute si se igienizeaza masca.</p>

<p><strong>Nu se recomanda pulverizarea cu alcool sau produse pe baza de clor deoarece acest lucru va duce la deteriorarea mastii.</strong></p>
",,,,,,,,,,,,
product_8ab181d1-eb82-4d8e-d656-2f2f24942be2,Product,Set 2 masti din matase naturala pentru copii,"<p><strong>Aceasta masca nu este un dispozitiv medical! Compania noastra nu isi asuma raspunderea pentru persoanele care le folosesc in scop medical sau pentru eventualele situatii de imbolnavire.</strong></p><p>&nbsp;</p><p><span style=""color:#cb2026;""><strong>Avand in vedere volumul mare de comenzi, procesarea si expedierea acestora se va realiza in ordinea plasarii lor.</strong></span></p>",f1d16d_6de6f543d18540ebad0c0b3f629889e7~mv2.jpg;f1d16d_1d564135a8224d95912906b991d29016~mv2.jpg;f1d16d_5b166392ced54e4182491295192acbbb~mv2.jpg;f1d16d_56b1620470ed48c089f3e6f52f3404ce~mv2.jpg,COLECTII FAMILIE,,,100.0,,true,AMOUNT,10.0,InStock,0.0,Dimensiuni Copil,DROP_DOWN,XS;S,Dimensiuni Copil 2,DROP_DOWN,XS;S,,,,,,,,,,,,,Descriere Produs,"<p>Masca estetica unisex din matase naturala. Matasea naturala este o tesatura foarte fina, luxurianta, durabila, usoara si are o aparenta superba datorita firelor fine din care este compusa. Acest articol este un accesoriu moda versatil, putand fi asortat la diverse tinute vestimentare, atat casual, cat si elegante.</p>
",Caracteristici,"<p>Produsul este compus din urmatoarele elemente:</p>

<p>- 3 straturi de matase naturala</p>

<p>- 1 strat de bumbac</p>

<p>- 1 filtru din 5 straturi de material netesut (polipropilena)</p>

<p>- element din metal pentru fixarea mastii pe nas</p>

<p>Masca este prevazuta cu buzunare pentru inlocuirea filtrului si a elementului din metal folosit pentru fixarea mastii.</p>
",Intretinere,"<p>Pentru igienizarea si intretinerea acestei masti se recomanda spalarea manuala, folosind un recipient cu apa calduta, impreuna cu detergent pentru rufe delicate sau sampon pentru copii.</p>

<p>Uscarea se face departe de lumina directa a soarelui.</p>

<p>Calcarea se realizeaza normal cu aburi, timp de 5-10 secunde, asezand un material textil intre masca si talpa fierului de calcat. Astfel se inlatura mirosurile neplacute si se igienizeaza masca.</p>

<p><strong>Nu se recomanda pulverizarea cu alcool sau produse pe baza de clor deoarece acest lucru va duce la deteriorarea mastii.</strong></p>
",,,,,,,,,,,,
product_232d434b-a9a2-6d94-b4ca-0a3fafa07c02,Product,Set 2 masti din matase naturala pentru copii,"<p><strong>Aceasta masca nu este un dispozitiv medical! Compania noastra nu isi asuma raspunderea pentru persoanele care le folosesc in scop medical sau pentru eventualele situatii de imbolnavire.</strong></p><p>&nbsp;</p><p><span style=""color:#cb2026;""><strong>Avand in vedere volumul mare de comenzi, procesarea si expedierea acestora se va realiza in ordinea plasarii lor.</strong></span></p>",f1d16d_d3a2e49cfa814fd2ab722d85a7b649a1~mv2.jpg;f1d16d_be94dbbfab3d41c3b1b9fd687ef3552f~mv2.jpg;f1d16d_30f18c561a0e41d6a35f583a76b49295~mv2.jpg;f1d16d_5267fb38d7984460927104360c33daa9~mv2.jpg,COLECTII FAMILIE,,,100.0,,true,AMOUNT,10.0,InStock,0.0,Dimensiuni Copil,DROP_DOWN,XS;S,Dimensiuni Copil 2,DROP_DOWN,XS;S,,,,,,,,,,,,,Descriere Produs,"<p>Masca estetica unisex din matase naturala. Matasea naturala este o tesatura foarte fina, luxurianta, durabila, usoara si are o aparenta superba datorita firelor fine din care este compusa. Acest articol este un accesoriu moda versatil, putand fi asortat la diverse tinute vestimentare, atat casual, cat si elegante.</p>
",Caracteristici,"<p>Produsul este compus din urmatoarele elemente:</p>

<p>- 3 straturi de matase naturala</p>

<p>- 1 strat de bumbac</p>

<p>- 1 filtru din 5 straturi de material netesut (polipropilena)</p>

<p>- element din metal pentru fixarea mastii pe nas</p>

<p>Masca este prevazuta cu buzunare pentru inlocuirea filtrului si a elementului din metal folosit pentru fixarea mastii.</p>
",Intretinere,"<p>Pentru igienizarea si intretinerea acestei masti se recomanda spalarea manuala, folosind un recipient cu apa calduta, impreuna cu detergent pentru rufe delicate sau sampon pentru copii.</p>

<p>Uscarea se face departe de lumina directa a soarelui.</p>

<p>Calcarea se realizeaza normal cu aburi, timp de 5-10 secunde, asezand un material textil intre masca si talpa fierului de calcat. Astfel se inlatura mirosurile neplacute si se igienizeaza masca.</p>

<p><strong>Nu se recomanda pulverizarea cu alcool sau produse pe baza de clor deoarece acest lucru va duce la deteriorarea mastii.</strong></p>
",,,,,,,,,,,,
